title,thumbnail_url,Artist Name and Installation Date,Art Type,Location Description,latitude,longitude
Untitled,https://live.staticflickr.com/3275/3023565088_d6212acf50_3k.jpg,"Elena Irving, 1987",Sculpture,1006 Carol Drive,34.089111,-118.390938
Where Fire Meets Water,https://live.staticflickr.com/3275/3023565088_d6212acf50_3k.jpg,"Michael Amescua, 1999",Architectural,8866 Cynthia Street (Fire Station),34.087109,-118.385262
La Bodega,https://live.staticflickr.com/3062/3022729917_b527a08e65_3k.jpg,"Alan S. Boivin, 1989",Architectural,963 N Larrabee Street,34.089134,-118.384575
Studwall,https://live.staticflickr.com/8679/30092720875_fd26e1738c_k.jpg,"Ball Nogues, 2013",Sculpture,1287 N. La Brea Blvd.,34.0937726,-118.3440788
Tree of Life,https://live.staticflickr.com/3254/3023556390_fecb10a7ad_k.jpg,"David Rosen, 1988",Mural,1031 N. Crescent Heights Boulevard,34.089905,-118.366096
Cauldron Stone,https://live.staticflickr.com/3005/3023564910_dd3e2ded2a_k.jpg,"Yoshikawa, 1999",Sculpture,613 West Knoll Dr.,34.082317,-118.377669
A Quiet Moment or The Lightness of Being,https://live.staticflickr.com/3243/3022738941_faa49b73da_c.jpg,"Patrick McGrath, 2003",Sculpture,1414 N. Harper Avenue,34.096123,-118.368805
Tonic or Age of Noise,https://live.staticflickr.com/3269/3023566426_7dff24d461_b.jpg,"Bruce Odland, 2002",Sculpture,8840 Santa Monica Boulevard,34.084969,-118.383583
Three Kings,https://live.staticflickr.com/5475/29464819184_8033b89685_k.jpg,"Guy Dill, 2013",Architectural,1232 Kings Road,34.0925855,-118.3725138
Archway,https://live.staticflickr.com/3285/3022727603_f06a746b91_3k.jpg,"John Canavier, 1987",Sculpture,8819 Harratt Street,34.089703,-118.383736
Eye Flower,,"James Surls, 2002",Sculpture,8560 & 8590 Sunset Boulevard,34.092461,-118.378395
e/MOTION,,"Paul Tzanetopoulos, 2003",Video Screen and projections,7102 Santa Monica Boulevard,34.090576,-118.344711
Doggie Dog (Homage to Giacometti),,"Tsipi Mani, 2013",Sculpture,625 N. San Vicente Blvd,34.081741,-118.383705
825 Over 2,,"John O' Brien, 2008",Sculpture,825 N. Kings Road,34.086163,-118.371841
Under the Sun,,"Monique Van Genderen, 2017",Sculpture,8350 Santa Monica Blvd.,34.090383,-118.371835
The Trojan,,"Giora Eshkol, 1988",Sculpture,960 Doheny Drive,34.08902,-118.389626
Cynthia Palm,,"Christina Ulke, 2009",Sculpture,8833 Cynthia Street,34.087379,-118.383873
Murano,,"Peter Shire, 2009",Sculpture,Santa Monica Median near Palm Avenue,34.088455,-118.378075
Children's Clock,,"Lynn Goodpasture, 2003",Architectural,563 N. Alfred Street,34.081963,-118.376343
