title,thumbnail_url,latitude,longitude
Untitled,https://live.staticflickr.com/3275/3023565088_d6212acf50_3k.jpg,34.089111,-118.390938
Where Fire Meets Water,https://live.staticflickr.com/3275/3023565088_d6212acf50_3k.jpg,34.087109,-118.385262
La Bodega,https://live.staticflickr.com/3062/3022729917_b527a08e65_3k.jpg,34.089134,-118.384575
Studwall,https://live.staticflickr.com/8679/30092720875_fd26e1738c_k.jpg,34.0937726,-118.3440788
Tree of Life,https://live.staticflickr.com/3254/3023556390_fecb10a7ad_k.jpg,34.089905,-118.366096
Cauldron Stone,https://live.staticflickr.com/3005/3023564910_dd3e2ded2a_k.jpg,34.082317,-118.377669
A Quiet Moment or The Lightness of Being,https://live.staticflickr.com/3243/3022738941_faa49b73da_c.jpg,34.096123,-118.368805
Tonic or Age of Noise,https://live.staticflickr.com/3269/3023566426_7dff24d461_b.jpg,34.084969,-118.383583
Three Kings,https://live.staticflickr.com/5475/29464819184_8033b89685_k.jpg,34.0925855,-118.3725138
Archway,https://live.staticflickr.com/3285/3022727603_f06a746b91_3k.jpg,34.089703,-118.383736
Eye Flower,https://live.staticflickr.com/3226/3023565388_fe6b9968fd_3k.jpg,34.092461,-118.378395
e/MOTION,https://live.staticflickr.com/3294/3022738023_6122518991.jpg,34.090576,-118.344711
Doggie Dog (Homage to Giacometti),https://live.staticflickr.com/5264/29464852393_935fcc1b25_k.jpg,34.081741,-118.383705
825 Over 2,https://live.staticflickr.com/1341/3174129695_f30a415d21_z.jpg,34.086163,-118.371841
Under the Sun,https://live.staticflickr.com/4580/25029008548_dcb00d05e2_4k.jpg,34.090383,-118.371835
The Trojan,,34.08902,-118.389626
Cynthia Palm,,34.087379,-118.383873
Murano,,34.088455,-118.378075
Children's Clock,,34.081963,-118.376343
Reina De Los Angeles,,34.095001,-118.368752
Implied Arch,,34.091411,-118.376442
Becoming,,34.092152,-118.375008
Cabinet of Wonder,,34.081519,-118.386758
Untitled,,34.088291,-118.383011
Virginia Court Motel Diver,,34.0829682,-118.3845428
3-D Sculpture,,34.091213,-118.384575
With An Ear To The Earth,,34.095818,-118.367821
Abstract,,34.088085,-118.389648
Floraform,,34.09079,-118.372444
Untitled,,34.092358,-118.375
Tree Form,,34.091801,-118.346069
Mandarins from Belize,,34.0825,-118.374045
Untitled,,34.089352,-118.378716
A Moment In Time,,34.077342,-118.389343
The Riddle of the Sphinx,,34.091572,-118.350922
Rockin' Angel,,34.088566,-118.377686
West Hollywood Clock,,34.088706,-118.377083
Pattern Language (The London Gates),,34.089912,-118.385406
Horizon; Cubes,,34.082185,-118.3842395
Platanus Bibliotechalis,,34.081741,-118.383705
Untitled,,34.087391,-118.383598
All Tiled Up,,34.093903,-118.368713
Mediterraneo,,34.087208,-118.388588
Untitled,,34.094452,-118.374268
Sunset Strip Poinsettia Fields,,34.092285,-118.379501
Close-Up,,34.090197,-118.349283
Untitled,,34.088135,-118.379234
"Peace, Freedom, and Creativity",,34.081825,-118.383774
Untitled,,34.08923,-118.381355
Dodge House Art Wall,,34.088909,-118.371246
Serenity Fountain,,34.089737,-118.386398
En Passant,,34.090995,-118.36129
Untitled,,34.093502,-118.368736
Untitled,,34.086369,-118.379753
Corner Glory,,34.0907095,-118.3444537
Untitled,,34.076862,-118.379417
Stairway Sculpture,,34.08762,-118.382774
Net of Indra,,34.090325,-118.370401
The Departure,,34.09531,-118.372925
Untitled,,34.089085,-118.371582
Sidewalks in Time,,34.09322,-118.344254
Surfboard Tiki,,34.088493,-118.378586
Ogling,,34.083344,-118.386772
Still Grove of Bamboo,,34.091267,-118.374878
Owl Dream,,34.091991,-118.383453
Dream Catcher,,34.093964,-118.375805
